run_id,task_id,experiment_id,rep,input_tokens,cached_input_tokens,uncached_input_tokens,output_tokens,total_tokens,uncached_total_tokens,quality_score,passed,duration_ms,used_non_message_items
"2026-04-07T01-54-28-incident-diagnosis-concise-focused-1","incident-diagnosis","concise-focused",1,3,34093,0,446,449,446,100,true,16934,0
"2026-04-07T01-54-28-incident-diagnosis-concise-focused-2","incident-diagnosis","concise-focused",2,3,34093,0,438,441,438,100,true,17794,0
"2026-04-07T01-54-28-incident-diagnosis-concise-focused-3","incident-diagnosis","concise-focused",3,3,34093,0,407,410,407,100,true,16181,0
"2026-04-07T01-54-28-incident-diagnosis-concise-focused-caveman-1","incident-diagnosis","concise-focused-caveman",1,3,34718,0,394,397,394,100,true,16683,0
"2026-04-07T01-54-28-incident-diagnosis-concise-focused-caveman-2","incident-diagnosis","concise-focused-caveman",2,3,34718,0,351,354,351,100,true,16124,0
"2026-04-07T01-54-28-incident-diagnosis-concise-focused-caveman-3","incident-diagnosis","concise-focused-caveman",3,3,34718,0,344,347,344,100,true,15193,0
"2026-04-07T01-54-28-incident-diagnosis-concise-focused-caveman-micro-1","incident-diagnosis","concise-focused-caveman-micro",1,3,23881,0,343,346,343,100,true,15463,0
"2026-04-07T01-54-28-incident-diagnosis-concise-focused-caveman-micro-2","incident-diagnosis","concise-focused-caveman-micro",2,3,24162,0,339,342,339,100,true,13418,0
"2026-04-07T01-54-28-incident-diagnosis-concise-focused-caveman-micro-3","incident-diagnosis","concise-focused-caveman-micro",3,3,34202,0,393,396,393,100,true,17829,0
"2026-04-07T01-54-28-config-audit-concise-focused-1","config-audit","concise-focused",1,3,31964,0,87,90,87,100,true,9323,0
"2026-04-07T01-54-28-config-audit-concise-focused-2","config-audit","concise-focused",2,3,30708,0,87,90,87,100,true,9706,0
"2026-04-07T01-54-28-config-audit-concise-focused-3","config-audit","concise-focused",3,3,31964,0,87,90,87,100,true,8841,0
"2026-04-07T01-54-28-config-audit-concise-focused-caveman-1","config-audit","concise-focused-caveman",1,3,31333,0,87,90,87,100,true,8135,0
"2026-04-07T01-54-28-config-audit-concise-focused-caveman-2","config-audit","concise-focused-caveman",2,3,32589,0,87,90,87,100,true,9219,0
"2026-04-07T01-54-28-config-audit-concise-focused-caveman-3","config-audit","concise-focused-caveman",3,3,32589,0,87,90,87,100,true,9342,0
"2026-04-07T01-54-28-config-audit-concise-focused-caveman-micro-1","config-audit","concise-focused-caveman-micro",1,3,32073,0,87,90,87,100,true,10955,0
"2026-04-07T01-54-28-config-audit-concise-focused-caveman-micro-2","config-audit","concise-focused-caveman-micro",2,3,32073,0,87,90,87,100,true,8930,0
"2026-04-07T01-54-28-config-audit-concise-focused-caveman-micro-3","config-audit","concise-focused-caveman-micro",3,3,32073,0,87,90,87,100,true,8760,0
